P (MPa),T (°C),v (m³/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg·K)
0.28,0,0.07282,230.46,250.85,0.9362
0.28,10,0.07646,238.29,259.70,0.9681
0.28,20,0.07997,246.15,268.54,0.9987
0.28,30,0.08338,254.08,277.42,1.0285
0.28,40,0.08672,262.12,286.40,1.0577
0.28,50,0.09000,270.28,295.48,1.0862
0.28,60,0.09324,278.58,304.69,1.1143
0.28,70,0.09644,287.01,314.01,1.1419
0.28,80,0.09961,295.59,323.48,1.1690
0.28,90,0.10275,304.30,333.07,1.1958
0.28,100,0.10587,313.17,342.81,1.2223
0.28,110,0.10897,322.18,352.69,1.2484
0.28,120,0.11205,331.34,362.72,1.2742
0.28,130,0.11512,340.65,372.88,1.2998
0.28,140,0.11818,350.11,383.20,1.3251
0.32,Sat.,0.06368,231.55,251.93,0.9303
0.32,10,0.06609,237.56,258.70,0.9545
0.32,20,0.06925,245.51,267.67,0.9856
0.32,30,0.07231,253.52,276.66,1.0158
0.32,40,0.07530,261.62,285.72,1.0452
0.32,50,0.07823,269.83,294.87,1.0739
0.32,60,0.08111,278.17,304.12,1.1022
0.32,70,0.08395,286.64,313.50,1.1299
0.32,80,0.08675,295.24,323.00,1.1572
0.32,90,0.08953,303.99,332.64,1.1841
0.32,100,0.09229,312.87,342.41,1.2106
0.32,110,0.09503,321.91,352.31,1.2368
0.32,120,0.09775,331.08,362.36,1.2627
0.32,130,0.10045,340.41,372.55,1.2883
0.32,140,0.10314,349.88,382.89,1.3136
0.40,Sat.,0.051266,235.10,255.61,0.9271
0.40,10,0.051506,235.99,256.59,0.9306
0.40,20,0.054213,244.19,265.88,0.9628
0.40,30,0.056796,252.37,275.09,0.9937
0.40,40,0.059292,260.60,284.32,1.0237
0.40,50,0.061724,268.92,293.61,1.0529
0.40,60,0.064104,277.34,302.98,1.0814
0.40,70,0.066443,285.88,312.45,1.1095
0.40,80,0.068747,294.54,322.04,1.1370
0.40,90,0.071023,303.34,331.75,1.1641
0.40,100,0.073274,312.28,341.59,1.1908
0.40,110,0.075504,321.35,351.55,1.2172
0.40,120,0.077717,330.56,361.65,1.2432
0.40,130,0.079913,339.92,371.89,1.2689
0.40,140,0.082096,349.42,382.26,1.2943
0.50,Sat.,0.041168,238.77,259.36,0.9242
0.50,20,0.042115,242.42,263.48,0.9384
0.50,30,0.044338,250.86,273.03,0.9704
0.50,40,0.046456,259.27,282.50,1.0011
0.50,50,0.048499,267.73,291.98,1.0309
0.50,60,0.050485,276.27,301.51,1.0600
0.50,70,0.052427,284.91,311.12,1.0884
0.50,80,0.054331,293.65,320.82,1.1163
0.50,90,0.056205,302.52,330.63,1.1436
0.50,100,0.058053,311.52,340.55,1.1706
0.50,110,0.059880,320.65,350.59,1.1971
0.50,120,0.061687,329.91,360.75,1.2233
0.50,130,0.063479,339.31,371.05,1.2492
0.50,140,0.065256,348.85,381.47,1.2747
0.50,150,0.067021,358.52,392.04,1.3000
0.50,160,0.068775,368.34,402.73,1.3250
0.60,Sat.,0.034335,241.86,262.46,0.9220
0.60,30,0.035984,249.24,270.83,0.9500
0.60,40,0.037865,257.88,280.60,0.9817
0.60,50,0.039659,266.50,290.30,1.0122
0.60,60,0.041389,275.17,300.00,1.0417
0.60,70,0.043069,283.91,309.75,1.0706
0.60,80,0.044710,292.74,319.57,1.0988
0.60,90,0.046318,301.69,329.48,1.1265
0.60,100,0.047900,310.76,339.49,1.1536
0.60,110,0.049458,319.94,349.61,1.1804
0.60,120,0.050997,329.24,359.84,1.2068
0.60,130,0.052519,338.69,370.20,1.2328
0.60,140,0.054027,348.26,380.68,1.2585
0.60,150,0.055522,357.98,391.29,1.2838
0.60,160,0.057006,367.83,402.03,1.3089
0.70,Sat.,0.029392,244.51,265.08,0.9201
0.70,30,0.029966,247.49,268.47,0.9314
0.70,40,0.031696,256.41,278.59,0.9642
0.70,50,0.033322,265.22,288.54,0.9955
0.70,60,0.034875,274.03,298.44,1.0257
0.70,70,0.036373,282.88,308.34,1.0550
0.70,80,0.037829,291.81,318.29,1.0835
0.70,90,0.039250,300.84,328.31,1.1115
0.70,100,0.040642,309.96,338.41,1.1389
0.70,110,0.042010,319.21,348.61,1.1659
0.70,120,0.043358,328.57,358.92,1.1925
0.70,130,0.044688,338.06,369.34,1.2186
0.70,140,0.046004,347.67,379.88,1.2445
0.70,150,0.047306,357.42,390.54,1.2700
0.70,160,0.048597,367.31,401.32,1.2952
0.80,Sat.,0.025645,246.82,267.34,0.9185
0.80,40,0.027035,254.84,276.46,0.9481
0.80,50,0.028547,263.87,286.71,0.9803
0.80,60,0.029973,272.85,296.82,1.0111
0.80,70,0.031340,281.83,306.90,1.0409
0.80,80,0.032659,290.86,316.99,1.0699
0.80,90,0.033941,299.97,327.12,1.0982
0.80,100,0.035193,309.17,337.32,1.1259
0.80,110,0.036420,318.47,347.61,1.1531
0.80,120,0.037625,327.89,357.99,1.1798
0.80,130,0.038813,337.42,368.47,1.2062
0.80,140,0.039985,347.08,379.07,1.2321
0.80,150,0.041143,356.86,389.78,1.2577
0.80,160,0.042290,366.78,400.61,1.2830
0.80,170,0.043427,376.83,411.57,1.3081
0.80,180,0.044554,387.01,422.65,1.3328
0.90,Sat.,0.022703,248.88,269.31,0.9169
0.90,40,0.023375,253.15,274.19,0.9328
0.90,50,0.024809,262.46,284.79,0.9661
0.90,60,0.026146,271.62,295.15,0.9977
0.90,70,0.027413,280.74,305.41,1.0280
0.90,80,0.028630,289.88,315.65,1.0574
0.90,90,0.029806,299.08,325.90,1.0861
0.90,100,0.030951,308.35,336.21,1.1141
0.90,110,0.032068,317.72,346.58,1.1415
0.90,120,0.033164,327.19,357.04,1.1684
0.90,130,0.034241,336.78,367.59,1.1949
0.90,140,0.035302,346.48,378.25,1.2211
0.90,150,0.036349,356.30,389.01,1.2468
0.90,160,0.037384,366.25,399.89,1.2722
0.90,170,0.038408,376.33,410.89,1.2973
0.90,180,0.039423,386.54,422.02,1.3221
1.00,Sat.,0.020329,250.71,271.04,0.9157
1.00,40,0.020406,251.32,271.73,0.9180
1.00,50,0.021796,260.96,282.76,0.9526
1.00,60,0.023068,270.33,293.40,0.9851
1.00,70,0.024261,279.61,303.87,1.0160
1.00,80,0.025398,288.87,314.27,1.0459
1.00,90,0.026492,298.17,324.66,1.0749
1.00,100,0.027552,307.52,335.08,1.1032
1.00,110,0.028584,316.96,345.54,1.1309
1.00,120,0.029592,326.49,356.08,1.1580
1.00,130,0.030581,336.12,366.70,1.1847
1.00,140,0.031554,345.87,377.42,1.2110
1.00,150,0.032512,355.73,388.24,1.2369
1.00,160,0.033457,365.71,399.17,1.2624
1.00,170,0.034392,375.82,410.22,1.2876
1.00,180,0.035317,386.06,421.38,1.3125
1.20,Sat.,0.016728,253.84,273.92,0.9132
1.20,60,0.018404,267.57,289.66,0.9619
1.20,70,0.019502,277.23,300.63,0.9939
1.20,80,0.020529,286.77,311.40,1.0249
1.20,90,0.021506,296.28,322.09,1.0547
1.20,100,0.022442,305.81,332.74,1.0836
1.20,110,0.023348,315.40,343.41,1.1119
1.20,120,0.024228,325.05,354.12,1.1395
1.20,130,0.025086,334.79,364.90,1.1665
1.20,140,0.025927,344.63,375.74,1.1931
1.20,150,0.026753,354.57,386.68,1.2192
1.20,160,0.027566,364.63,397.71,1.2450
1.20,170,0.028367,374.80,408.84,1.2704
1.20,180,0.029158,385.10,420.09,1.2955
1.40,Sat.,0.014119,256.40,276.17,0.9107
